,Cust Info,Credit Info,Score
0,ALAN LANEE LANEE A MENTZER nan nan nan nan nan nan nan nan,ALAN LANE nan MENTZER nan nan nan nan nan nan nan nan,0.965034982271007
1,"HAPPY T M TRAVELLER, HAPPY nan nan nan nan nan nan nan Friday, Febraury 5, 1965",HAPPY nan TRAVELLER nan nan nan nan nan nan nan 1965-02-05 00:00:00,0.899842541331695
2,"DILSON, ROCKLIN Dlison ROCKLIN, D nan nan nan nan nan nan nan 1983-03-15 00:00:00",DILSON nan ROCKLIN nan nan nan nan nan nan nan 1983-03-15 00:00:00,0.9821405584438384
3,"HAPP ,  TRAVELLE R nan nan nan nan nan nan nan 2023-01-01 00:00:00",HAPPY nan TRAVELLER nan nan nan nan nan nan nan 1981-01-01 00:00:00,0.9568578384885204
4,H appy TRAVELLER nan nan nan nan nan nan nan 1981-01-01 00:00:00,HAPPY nan TRAVELLER nan nan nan nan nan nan nan 1981-01-01 00:00:00,0.9845928482997818
5,HAPPY Happy T nan JR> nan nan nan nan nan 2023-01-01 00:00:00,HAPPY nan TRAVELLER nan Jr nan nan nan nan nan 1980-01-01 00:00:00,0.9626638889484738
6,ARON W WARNERR nan nan nan nan nan nan nan 1987-11-24 00:00:00,AARON nan WARNER nan nan nan nan nan nan nan 11/24/1987,0.8948643185468038
7,AMI Baldwin BALD WIN nan nan nan nan nan nan nan 1990-03-23 00:00:00,AMY nan BALDWIN nan nan nan nan nan nan nan 1990-03-23 00:00:00,0.9690476017399092
8,JONATHAN S SMITHE nan nan nan nan nan nan nan 1972-07-01 00:00:00,JOHNATHAN nan SMITH nan nan nan nan nan nan nan 1972-07-07 00:00:00,0.9578414886923188
9,BERT nan MILL_ER nan nan nan nan nan nan nan 1999-11-01 00:00:00,GILBERT nan MILLER nan nan nan nan nan nan nan 1999-11-02 00:00:00,0.9615384615384615
10,JEN nan GONZALE nan nan nan nan nan nan nan 2000-09-01 00:00:00,JENNIFER nan GONZALEZ nan nan nan nan nan nan nan 2000-09-01 00:00:00,0.9743589743589742
11,PHILIPP nan VALDE nan nan nan nan nan nan nan 1964-08-14 00:00:00,PHILIP nan VALDEZ nan nan nan nan nan nan nan 1964-08-14 00:00:00,0.9743589743589742
12,DANN nan ARMTRONG nan nan nan nan nan nan nan 1964-07-02 00:00:00,DANNY nan ARMSTRONG nan nan nan nan nan nan nan 1964-07-02 00:00:00,0.9743589743589742
13,"VAL nan KAUFFMAN nan nan nan nan nan nan nan Tuesday, Sept 18, 1973",VALERIE nan KAUFMAN nan nan nan nan nan nan nan 1973-09-18 00:00:00,0.8931977372352651
14,WILL nan DARTE nan nan nan nan nan nan nan 1996-08-02 00:00:00,WILLIAM nan DUARTE nan nan nan nan nan nan nan 1996-08-02 00:00:00,0.9743589743589742
15,JOE nan MORRO nan nan nan nan nan nan nan 2023-07-28 00:00:00,JOSEPH nan MORROW nan nan nan nan nan nan nan 1994-07-28 00:00:00,0.9615384615384615
16,ROBERT nan HODG nan nan nan nan nan nan nan 1972-08-15 00:00:00,ROBERT nan HODGE nan nan nan nan nan nan nan 1972-08-15 00:00:00,0.987179487179487
17,LYNN nan GODMAN nan nan nan nan nan nan nan 1971-02-15 00:00:00,LYN nan GOODMAN nan nan nan nan nan nan nan 1971-02-15 00:00:00,0.9743589743589742
18,ROBBIE nan WILLIAM nan nan nan nan nan nan nan 2023-10-29 00:00:00,ROBERT nan WILLIAMS nan nan nan nan nan nan nan 1982-10-29 00:00:00,0.9615384615384615
19,BILL nan RICHARDS nan nan nan nan nan nan nan 1973-08-24 00:00:00,WILLIAM nan RICHARDSON nan nan nan nan nan nan nan 1973-08-24 00:00:00,0.9743589743589742
20,TOD nan TAYL OR nan nan nan nan nan nan nan 1960-11-14 00:00:00,TODD nan TAYLOR nan nan nan nan nan nan nan 1960-11-14 00:00:00,0.9681725056254902
21,PAL nan ADAM nan nan nan nan nan nan nan 1981-03-01 00:00:00,PAUL nan ADAMS nan nan nan nan nan nan nan 1981-03-10 00:00:00,0.9615384615384615
22,PARRISSH nan ASH nan nan nan nan nan nan nan 2023-01-01 00:00:00,PARRISH nan ASHLEY nan nan nan nan nan nan nan 2001-01-11 00:00:00,0.9494431566409374
23,JAZON nan LOPEZZ nan nan nan nan nan nan nan 1995-04-25 00:00:00,JASON nan LOPEZ nan nan nan nan nan nan nan 1995-04-25 00:00:00,0.9743589743589742
24,SYNTHIA nan FLORES nan nan nan nan nan nan nan 1993-09-21 00:00:00,CYNTHIA nan FLORES nan nan nan nan nan nan nan 1993-09-21 00:00:00,0.987179487179487
25,TAMI nan DALTON nan nan nan nan nan nan nan 1970-09-25 00:00:00,TAMMY nan DALTON nan nan nan nan nan nan nan 1970-09-25 00:00:00,0.987179487179487
26,"EVE nan JENNINGS nan nan nan nan nan nan nan Thursday, March 9, 1972",EVELYN nan JENNINGS nan nan nan nan nan nan nan 1972-03-09 00:00:00,0.8996469021204836
27,STEVEN nan GORDO nan nan nan nan nan nan nan 1967-09-01 00:00:00,STEVE nan GORDON nan nan nan nan nan nan nan 1967-09-01 00:00:00,0.9743589743589742
28,EMMILY nan JUARE nan nan nan nan nan nan nan 2023-07-02 00:00:00,EMILY  nan JUAREZ nan nan nan nan nan nan nan 1977-07-02 00:00:00,0.9615384615384615
29,HAPPIE nan TRAVELERR nan nan nan nan nan nan nan 1981-01-01 00:00:00,HAPPY nan TRAVELER nan nan nan nan nan nan nan 1981-01-01 00:00:00,0.975
30,HAPP nan T nan nan nan nan nan nan nan 1965-02-05 00:00:00,HAPPY nan TRAVELER nan nan nan nan nan nan nan 1965-02-05 00:00:00,0.9806655707757672
31,TRACY JAMES S nan nan nan nan nan nan nan 2023-05-17 00:00:00,TRACEY JAMES SMITH nan nan nan nan nan nan nan 1976-05-17 00:00:00,0.9606597022317858
32,H nan HAPPYTRAVELER nan nan nan nan nan nan nan 1981-01-01 00:00:00,HAPPY nan TRAVELER nan nan nan nan nan nan nan 1981-01-01 00:00:00,0.9811514805819239
33,HAPP nan HTRAVELER nan nan nan nan nan nan nan 1981-01-01 00:00:00,HAPPY nan TRAVELER nan nan nan nan nan nan nan 1981-01-01 00:00:00,0.975
34,FRANKIE nan OSS nan nan nan nan nan nan nan 1990-01-01 00:00:00,FRANK nan MOSS nan nan nan nan nan nan nan 1990-01-01 00:00:00,0.975
35,TEST nan SPECIMN nan nan nan nan nan nan nan 2023-10-02 00:00:00,TEST V nan SPECIMEN nan nan nan nan nan nan nan 2002-10-20 00:00:00,0.9615384615384613
36,JOSELYN nan SMITH nan nan nan nan nan nan nan 1980-02-21 00:00:00,JOCELYN nan SMITH nan nan nan nan nan nan nan 1980-02-21 00:00:00,0.987179487179487
37,COSETTEY nan B nan nan nan nan nan nan nan 1942-11-18 00:00:00,COSETTE nan BERNARD nan nan nan nan nan nan nan 1942-11-18 00:00:00,0.9806655707757672
